Accession Number,EC,Species,Label,Enzyme,Reaction ID,Substrates,Products,Km,Kcat,Inhibitors,Ki
WP_000288146.1,2.3.1.180,,R97,Beta-ketoacyl-[acyl-carrier-protein] synthase iii,R04952,C01209; C05745,C00011; C00229; C05746,Km_C00011: 0.434365362; Km_C00229: nan; Km_C05746: nan; Km_C01209: 0.005; Km_C05745: nan,Kcat_F: nan; Kcat_R: 35.38314654,,
WP_000288146.1,2.3.1.180,,R98,Beta-ketoacyl-[acyl-carrier-protein] synthase iii,R04957,C01209; C05749,C00011; C00229; C05750,Km_C00011: 0.434365362; Km_C00229: nan; Km_C05750: nan; Km_C01209: 0.005; Km_C05749: nan,Kcat_F: nan; Kcat_R: 35.38314654,,
WP_000288146.1,2.3.1.180,,R99,Beta-ketoacyl-[acyl-carrier-protein] synthase iii,R04960,C01209; C05752,C00011; C00229; C05753,Km_C00011: 0.434365362; Km_C00229: nan; Km_C05753: nan; Km_C01209: 0.005; Km_C05752: nan,Kcat_F: nan; Kcat_R: 35.38314654,,
WP_000288146.1,2.3.1.180,,R100,Beta-ketoacyl-[acyl-carrier-protein] synthase iii,R04963,C01209; C05755,C00011; C00229; C05756,Km_C00011: 0.434365362; Km_C00229: nan; Km_C05756: nan; Km_C01209: 0.005; Km_C05755: nan,Kcat_F: nan; Kcat_R: 35.38314654,,
WP_000288146.1,2.3.1.180,,R101,Beta-ketoacyl-[acyl-carrier-protein] synthase iii,R04968,C01209; C05761,C00011; C00229; C05762,Km_C00011: 0.434365362; Km_C00229: nan; Km_C05762: nan; Km_C01209: 0.005; Km_C05761: nan,Kcat_F: nan; Kcat_R: 35.38314654,,
WP_000191372.1,2.3.1.39,,R102,[acyl-carrier-protein] s-malonyltransferase,R01626,C00083; C00229,C00010; C01209,Km_C00010: 0.065542154; Km_C01209: nan; Km_C00083: 0.029699999999999997; Km_C00229: 0.03,Kcat_F: 1050.000235; Kcat_R: 9.578607456,,
WP_000817178.1,2.3.1.41,,R103,Beta-ketoacyl-[acyl-carrier-protein] synthase i,R02768,C00173; C01209,C00011; C00229; C00685,Km_C00011: 0.139709994; Km_C00229: nan; Km_C00685: nan; Km_C00173: nan; Km_C01209: 0.025,Kcat_F: nan; Kcat_R: 3.630524813,,
WP_000817178.1,2.3.1.41,,R104,Beta-ketoacyl-[acyl-carrier-protein] synthase i,R04355,C01209; C03939,C00011; C00229; C05744,Km_C00011: 0.139709994; Km_C00229: nan; Km_C05744: nan; Km_C01209: 0.025; Km_C03939: 0.029,Kcat_F: 0.11; Kcat_R: 3.630524813,,
WP_000817178.1,2.3.1.41,,R105,Beta-ketoacyl-[acyl-carrier-protein] synthase i,R04726,C01209; C05223,C00011; C00229; C05759,Km_C00011: 0.139709994; Km_C00229: nan; Km_C05759: nan; Km_C01209: 0.025; Km_C05223: nan,Kcat_F: nan; Kcat_R: 3.630524813,,
WP_000817178.1,2.3.1.41,,R106,Beta-ketoacyl-[acyl-carrier-protein] synthase i,R04952,C01209; C05745,C00011; C00229; C05746,Km_C00011: 0.139709994; Km_C00229: nan; Km_C05746: nan; Km_C01209: 0.025; Km_C05745: nan,Kcat_F: nan; Kcat_R: 3.630524813,,
WP_000817178.1,2.3.1.41,,R107,Beta-ketoacyl-[acyl-carrier-protein] synthase i,R04957,C01209; C05749,C00011; C00229; C05750,Km_C00011: 0.139709994; Km_C00229: nan; Km_C05750: nan; Km_C01209: 0.025; Km_C05749: nan,Kcat_F: nan; Kcat_R: 3.630524813,,
WP_000817178.1,2.3.1.41,,R108,Beta-ketoacyl-[acyl-carrier-protein] synthase i,R04960,C01209; C05752,C00011; C00229; C05753,Km_C00011: 0.139709994; Km_C00229: nan; Km_C05753: nan; Km_C01209: 0.025; Km_C05752: nan,Kcat_F: nan; Kcat_R: 3.630524813,,
WP_000817178.1,2.3.1.41,,R109,Beta-ketoacyl-[acyl-carrier-protein] synthase i,R04963,C01209; C05755,C00011; C00229; C05756,Km_C00011: 0.139709994; Km_C00229: nan; Km_C05756: nan; Km_C01209: 0.025; Km_C05755: nan,Kcat_F: nan; Kcat_R: 3.630524813,,
WP_000817178.1,2.3.1.41,,R110,Beta-ketoacyl-[acyl-carrier-protein] synthase i,R04968,C01209; C05761,C00011; C00229; C05762,Km_C00011: 0.139709994; Km_C00229: nan; Km_C05762: nan; Km_C01209: 0.025; Km_C05761: nan,Kcat_F: nan; Kcat_R: 3.630524813,,
WP_000817178.1,2.3.1.41,,R111,Beta-ketoacyl-[acyl-carrier-protein] synthase i,R07762,C01209; C05764,C00011; C00229; C16219,Km_C00011: 0.139709994; Km_C00229: nan; Km_C16219: 0.009703225; Km_C01209: 0.025; Km_C05764: nan,Kcat_F: nan; Kcat_R: 2.1648983915,,
WP_000118404.1,6.4.1.2,,R112,Acetyl-coa carboxylase,R00742,C00002; C00024; C00288,C00008; C00009; C00083,Km_C00008: 0.041535225; Km_C00009: 0.312815398; Km_C00083: 0.1; Km_C00002: 0.031438239; Km_C00024: 0.023739677; Km_C00288: 0.259498209,Kcat_F: 0.26705086833333336; Kcat_R: 0.21057309933333335,,
WP_000118404.1,6.4.1.2,,R113,Acetyl-coa carboxylase,R04386,C00024; C04419,C00083; C06250,Km_C00083: 0.1; Km_C06250: nan; Km_C00024: 0.023739677; Km_C04419: nan,Kcat_F: 0.501296359; Kcat_R: 0.167004759,,
WP_000884639.1,6.3.4.14,,R114,Biotin carboxylase,R04385,C00002; C00288; C06250,C00008; C00009; C04419,Km_C00008: 0.028477727; Km_C00009: 0.98047787; Km_C04419: nan; Km_C00002: 0.043465339; Km_C00288: 29.266433333333335; Km_C06250: 0.16,Kcat_F: 5.698406123999999; Kcat_R: 0.05173266,,
WP_000354622.1,6.4.1.2,,R115,Acetyl-coa carboxylase,R00742,C00002; C00024; C00288,C00008; C00009; C00083,Km_C00008: 0.041535225; Km_C00009: 0.312815398; Km_C00083: 0.1; Km_C00002: 0.031438239; Km_C00024: 0.023739677; Km_C00288: 0.259498209,Kcat_F: 0.26705086833333336; Kcat_R: 0.21057309933333335,,
WP_000354622.1,6.4.1.2,,R116,Acetyl-coa carboxylase,R04386,C00024; C04419,C00083; C06250,Km_C00083: 0.1; Km_C06250: nan; Km_C00024: 0.023739677; Km_C04419: nan,Kcat_F: 0.501296359; Kcat_R: 0.167004759,,
WP_000227927.1,4.2.1.59,,R117,3-hydroxyacyl-[acyl-carrier-protein] dehydratase,R04537,C04620,C00001; C05751,Km_C00001: 1.233488917; Km_C05751: nan; Km_C04620: nan,Kcat_F: nan; Kcat_R: 2.636789227,,
WP_000081903.1,2.4.1.1,,R118,Glycogen phosphorylase,R01821,C00009,C00103; C00718,Km_C00103: 1.0; Km_C00718: nan; Km_C00009: 0.964813828,Kcat_F: 3.29200599; Kcat_R: 24.68616551,,
WP_000081903.1,2.4.1.1,,R119,Glycogen phosphorylase,R02111,C00009; C00369,C00103; C00718,Km_C00103: 1.0; Km_C00718: nan; Km_C00009: 0.964813828; Km_C00369: nan,Kcat_F: 3.29200599; Kcat_R: 24.68616551,,
WP_001320171.1,5.4.2.2,,R120,"Phosphoglucomutase (alpha-d-glucose-1,6-bisphosphate-dependent)",R08639,C00103,C00092,Km_C00092: 0.569383681; Km_C00103: 0.403784841,Kcat_F: 16.40078191; Kcat_R: 13.31428543,,
WP_001320171.1,5.4.2.2,,R121,"Phosphoglucomutase (alpha-d-glucose-1,6-bisphosphate-dependent)",R00959,C00103,C00668,Km_C00668: 0.569383681; Km_C00103: 0.403784841,Kcat_F: 16.40078191; Kcat_R: 13.31428543,,
WP_001320171.1,5.4.2.2,,R122,"Phosphoglucomutase (alpha-d-glucose-1,6-bisphosphate-dependent)",R01057,C00620,C00117,Km_C00117: 0.554221213; Km_C00620: 0.530358553,Kcat_F: 17.61713517; Kcat_R: 14.04424624,,
WP_001320171.1,5.4.2.2,,R123,"Phosphoglucomutase (alpha-d-glucose-1,6-bisphosphate-dependent)",R03319,C01171,C03735,Km_C03735: 0.569383681; Km_C01171: 0.403784841,Kcat_F: 16.40078191; Kcat_R: 13.31428543,,
