,Accession Number,EC,Species,Label,Enzyme,Reaction ID,Mechanism,Substrates,Products,Km,Kcat,Inhibitors,KI
99,WP_001220233.1,2.7.4.3,Escherichia coli,R100,Adenylate kinase,R00127,MRL,C00002; C00020,C00008,Km_C00008: 0.087849356; Km_C00002: 0.031631302; Km_C00020: 0.076284915,Kcat_F: 2.7976281115; Kcat_R: 2.616251295,C00360;C04058;C00008;C00020;C00206;C00002,C00008_KI: 0.087849356;C04058_KI: 0.036719304;C00206_KI: 0.045697965;C00360_KI: 0.071947679;C00002_KI: 0.031631302;C00020_KI: 0.076284915
101,WP_000210878.1,6.3.4.2,Escherichia coli,R102,Ctp synthase (glutamine hydrolysing),R00571,MRL,C00002; C00014; C00075,C00008; C00009; C00063,Km_C00008: 0.0327975; Km_C00009: 0.57172507; Km_C00063: 0.039101593; Km_C00002: 0.02550959; Km_C00014: 2.556291819; Km_C00075: 0.048999999999999995,Kcat_F: 5.34748218; Kcat_R: 1.6565584309999999,C00025;C00008;C00014;C00063;C00001;C00002;C00075;C00064;C00009,C00002_KI: 0.02550959;C00063_KI: 0.039101593;C00001_KI: 1.248884082;C00025_KI: 0.603838623;C00075_KI: 0.095736213;C00064_KI: 0.214680701;C00009_KI: 0.57172507;C00008_KI: 0.0327975;C00014_KI: 2.556291819
103,WP_000334099.1,2.6.1.16,Escherichia coli,R104,Glutamine-fructose-6-phosphate transaminase (isomerizing),R00768,MRL,C00064; C00085,C00025; C00352,Km_C00025: 0.938281476; Km_C00352: 0.461720258; Km_C00064: 0.44344449; Km_C00085: 0.500871122,Kcat_F: 0.746059583; Kcat_R: 1.0307426915,C00064;C00025;C00352;C00085,C00025_KI: 0.938281476;C00085_KI: 0.500871122;C00064_KI: 0.44344449;C00352_KI: 0.461720258
104,WP_001062128.1,2.5.1.6,Escherichia coli,R105,Methionine adenosyltransferase,R00177,MRL,C00009; C00013; C00019,C00001; C00002; C00073,Km_C00001: 1.070862532; Km_C00002: 0.117182642; Km_C00073: 0.466537207; Km_C00009: 1.239684701; Km_C00013: 0.28967458; Km_C00019: 0.048553739,Kcat_F: 0.23178606633333335; Kcat_R: 4.872040699333334,C00019;C00013;C05335;C05691;C00001;C00002;C00009;C00073,C00019_KI: 0.048553739;C00073_KI: 0.466537207;C05691_KI: 0.054899752;C00001_KI: 1.070862532;C00002_KI: 0.117182642;C00009_KI: 1.239684701;C00013_KI: 0.28967458;C05335_KI: 0.808324754
106,WP_000695655.1,6.1.1.17,Escherichia coli,R107,Glutamate-trna ligase,R05578,MRL,C00002; C00025; C01641,C00013; C00020; C02987,Km_C00013: 0.216984406; Km_C00020: 0.036403723; Km_C02987: 0.0895364528; Km_C00002: 0.051829793; Km_C00025: 0.142224342; Km_C01641: 0.00024,Kcat_F: 9.4960731375; Kcat_R: 3.489937588666667,C00025;C00013;C00020;C01641;C00002;C02987,C01641_KI: 0.111860566;C00025_KI: 0.142224342;C00020_KI: 0.036403723;C00013_KI: 0.216984406;C02987_KI: 0.111860566;C00002_KI: 0.051829793
107,WP_001293003.1,3.4.13.18,Escherichia coli,R108,Cytosol nonspecific dipeptidase,R01166,MRL,C00001; C00386,C00099; C00135,Km_C00099: 0.507952392; Km_C00135: 0.302831292; Km_C00001: 0.579682529; Km_C00386: 0.199187204,Kcat_F: 2.4933262735; Kcat_R: 13.306824521,C00099;C00386;C00884;C00001;C00334;C00135,C00386_KI: 0.199187204;C00099_KI: 0.507952392;C00884_KI: 0.189986333;C00135_KI: 0.302831292;C00001_KI: 0.579682529;C00334_KI: 0.517561674
109,WP_000091148.1,2.7.1.40,Escherichia coli,R110,Pyruvate kinase,R00200,MRL,C00002; C00022,C00008; C00074,Km_C00008: 0.051032659; Km_C00074: 0.144000247; Km_C00002: 0.044206705; Km_C00022: 0.87643075,Kcat_F: 10.6279720875; Kcat_R: 7.9375634995,C00286;C05625;C00035;C00044;C00389;C00075;C00361;C00131;C00041;C00158;C00454;C00009;C00104;C00122;C00008;C00015;C00026;C00063;C00302;C00209;C00074;C01401;C00022;C00025;C00112;C00201;C00206;C00002;C00081;C00091,C00075_KI: 0.223727554;C00112_KI: 0.036078647;C00008_KI: 0.051032659;C00091_KI: 0.033106904;C00041_KI: 1.001196623;C00302_KI: 1.237834454;C00206_KI: 0.018646972;C00063_KI: 0.066866696;C00104_KI: 0.055906694;C01401_KI: 1.001196623;C00389_KI: 0.008297376;C00201_KI: 0.3355317063571429;C00131_KI: 0.016942503;C00122_KI: 0.454898477;C05625_KI: 0.031311039;C00044_KI: 0.055115532;C00286_KI: 0.020049427;C00026_KI: 0.352110684;C00015_KI: 0.152999684;C00454_KI: 0.3355317063571429;C00361_KI: 0.019646076;C00209_KI: 0.660195351;C00158_KI: 0.496947676;C00081_KI: 0.071252503;C00074_KI: 0.144000247;C00009_KI: 0.995755255;C00022_KI: 0.87643075;C00002_KI: 0.044206705;C00035_KI: 0.031300213;C00025_KI: 1.237834454
117,WP_000086722.1,2.3.1.8,Escherichia coli,R118,Phosphate acetyltransferase,R00230,MRL,C00009; C00024,C00010; C00227,Km_C00010: 0.067; Km_C00227: 0.9; Km_C00009: 0.737116456; Km_C00024: 0.045,Kcat_F: 129.904416; Kcat_R: 195.3815149,C00022;C00100;C00008;C01478;C00227;C00004;C00059;C00024;C00010;C00005;C00002;C02876;C11215;C00009;C00074,C00002_KI: 0.036567155;C00008_KI: 0.056197777;C00010_KI: 0.037211694;C00074_KI: 0.147454277;C00005_KI: 0.014817288;C00100_KI: 0.032027643;C02876_KI: 0.271658391;C00004_KI: 0.024499679;C01478_KI: 0.575060606;C00009_KI: 0.737116456;C11215_KI: 0.20915413278571426;C00227_KI: 0.287804723;C00022_KI: 0.35437724;C00059_KI: 0.321515918;C00024_KI: 0.031849012
119,WP_000988027.1,3.2.1.22,Escherichia coli,R120,Alpha-galactosidase,R01101,MRL,C00001; C05402,C00031; C00124,Km_C00031: 14.55188179; Km_C00124: 14.55188179; Km_C00001: 5.090140343; Km_C05402: 9.408344269,Kcat_F: 8.2433162475; Kcat_R: 8.221061924,C05399;C00001;C00031;C01613;C06037;C05402;C00116;C04737;C05401;C00492;C00089;C06126;C01290;C01235;C00794;C05404;C00137;C02686;C00159;C05400;C03692;C00124,C05401_KI: 11.91046715;C00089_KI: 11.26636791;C01613_KI: 6.016309738;C00159_KI: 14.55188179;C05404_KI: 5.508523941;C03692_KI: 10.037124306125001;C01290_KI: 10.037124306125001;C04737_KI: 10.037124306125001;C05402_KI: 9.408344269;C00137_KI: 12.13025475;C05399_KI: 7.178169727;C02686_KI: 10.037124306125001;C05400_KI: 9.408344269;C00116_KI: 11.27495575;C01235_KI: 10.24762726;C00124_KI: 14.55188179;C00001_KI: 5.090140343;C00794_KI: 10.86484718;C00492_KI: 6.633991241;C06037_KI: 10.037124306125001;C06126_KI: 10.037124306125001;C00031_KI: 14.55188179
130,WP_000416403.1,6.1.1.9,Escherichia coli,R131,Valine-trna ligase,R03665,MRL,C00002; C00183; C01653,C00013; C00020; C02554,Km_C00013: 0.202436924; Km_C00020: 0.166665509; Km_C02554: 0.1329046838; Km_C00002: 0.198360145; Km_C00183: 0.096970841; Km_C01653: 9e-05,Kcat_F: 12.250992328; Kcat_R: 3.506267026,C00013;C00020;C02554;C00002;C00183;C01653,C00183_KI: 0.096970841;C00013_KI: 0.202436924;C00020_KI: 0.166665509;C00002_KI: 0.198360145;C02554_KI: 0.16610835475;C01653_KI: 0.16610835475
131,WP_001299507.1,1.1.1.205,Escherichia coli,R132,Imp dehydrogenase,R01130,MRL,C00001; C00003; C00130,C00004; C00080; C00655,Km_C00004: 0.046484388; Km_C00080: 5.048990726; Km_C00655: 0.036233123; Km_C00001: 4.488901615; Km_C00003: 0.146938637; Km_C00130: 0.0366,Kcat_F: 6.308681582333333; Kcat_R: 4.813341095,C00130;C00003;C16618;C04646;C00004;C00655;C00001;C00080,C00001_KI: 4.488901615;C16618_KI: 1.4026414857142857;C00655_KI: 0.036233123;C04646_KI: 0.013398461;C00003_KI: 0.146938637;C00080_KI: 5.048990726;C00004_KI: 0.046484388;C00130_KI: 0.03754345
133,WP_001127419.1,4.2.1.9,Escherichia coli,R134,Dihydroxy-acid dehydratase,R01209,MRL,C04039,C00001; C00141,Km_C00001: 3.342954397; Km_C00141: 0.432823241; Km_C04039: 1.5,Kcat_F: 12.39697346; Kcat_R: 8.578950342,C06007;C00671;C04039;C00001;C00141;C04272,C00141_KI: 0.432823241;C04039_KI: 0.426905453;C00671_KI: 0.513797998;C00001_KI: 3.342954397;C06007_KI: 0.771898925;C04272_KI: 0.426905453
136,WP_001144202.1,6.1.1.3,Escherichia coli,R137,Threonine-trna ligase,R03663,MRL,C00002; C00188; C01651,C00013; C00020; C02992,Km_C00013: 0.136936635; Km_C00020: 0.025268234; Km_C02992: 0.06833203299999999; Km_C00002: 0.046611827; Km_C00188: 0.132813469; Km_C01651: 3e-05,Kcat_F: 28.958055132222217; Kcat_R: 85.070744195,C01651;C00013;C00020;C02992;C00002;C00188,C02992_KI: 0.08540754125;C00002_KI: 0.046611827;C00188_KI: 0.132813469;C00020_KI: 0.025268234;C00013_KI: 0.136936635;C01651_KI: 0.08540754125
137,WP_001295247.1,4.1.99.1,Escherichia coli,R138,Tryptophanase,R00673,MRL,C00001; C00078,C00014; C00022; C00463,Km_C00014: 14.70998764; Km_C00022: 10.0; Km_C00463: 0.019; Km_C00001: 10.89367962; Km_C00078: 0.338006228,Kcat_F: 1.612228325; Kcat_R: 2.7298971626666666,C00022;C00463;C00078;C00014;C00001,C00001_KI: 10.89367962;C00463_KI: 0.110456236;C00078_KI: 0.338006228;C00014_KI: 14.70998764;C00022_KI: 12.57760429
138,WP_000117881.1,6.1.1.22,Escherichia coli,R139,Asparagine-trna ligase,R03648,MRL,C00002; C00152; C01637,C00013; C00020; C03402,Km_C00013: 0.10072536; Km_C00020: 0.038245004; Km_C03402: 0.06428387125000001; Km_C00002: 0.04164549; Km_C00152: 0.076519631; Km_C01637: 0.06428387125000001,Kcat_F: 2.3635754395; Kcat_R: 1.2751226974999998,C00013;C00020;C01637;C00002;C00152;C03402,C01637_KI: 0.06428387125;C03402_KI: 0.06428387125;C00152_KI: 0.076519631;C00020_KI: 0.038245004;C00013_KI: 0.10072536;C00002_KI: 0.04164549
139,WP_001107167.1,6.1.1.21,Escherichia coli,R140,Histidine-trna ligase,R03655,MRL,C00002; C00135; C01643,C00013; C00020; C02988,Km_C00013: 0.137552559; Km_C00020: 0.03928145; Km_C02988: 0.08041546675; Km_C00002: 0.071193345; Km_C00135: 0.073634513; Km_C01643: 0.08041546675,Kcat_F: 1.8322134300000001; Kcat_R: 1.650474209,C00013;C02988;C00020;C01643;C00135;C00002,C02988_KI: 0.08041546675;C00013_KI: 0.137552559;C00020_KI: 0.03928145;C00135_KI: 0.073634513;C00002_KI: 0.071193345;C01643_KI: 0.08041546675
140,WP_001300978.1,6.1.1.10,Escherichia coli,R141,Methionine-trna ligase,R03659,MRL,C00002; C00073; C01647,C00013; C00020; C02430,Km_C00013: 0.179405659; Km_C00020: 0.049729425; Km_C02430: 10.093594786199999; Km_C00002: 0.085898831; Km_C00073: 0.147100016; Km_C01647: 50.00584,Kcat_F: 7.6416249; Kcat_R: 4.5975401445,C00013;C05335;C00020;C01647;C02430;C00002;C00073;C05336,C00073_KI: 0.147100016;C01647_KI: 0.1465278302;C02430_KI: 0.1465278302;C05336_KI: 0.1465278302;C05335_KI: 0.27050522;C00013_KI: 0.179405659;C00002_KI: 0.085898831;C00020_KI: 0.049729425
142,WP_000884639.1,6.3.4.14,Escherichia coli,R143,Biotin carboxylase,R04385,MRL,C00002; C00011; C06250,C00008; C00009; C04419,Km_C00008: 0.028477727; Km_C00009: 0.98047787; Km_C04419: 6.095770853866667; Km_C00002: 0.043465339; Km_C00011: 29.266433333333335; Km_C06250: 0.16,Kcat_F: 5.698406123999999; Kcat_R: 0.05173266,C00008;C04419;C00011;C00002;C00009;C06250,C00008_KI: 0.028477727;C00002_KI: 0.043465339;C04419_KI: 0.55946083925;C06250_KI: 0.55946083925;C00011_KI: 1.185422421;C00009_KI: 0.98047787
143,WP_001301026.1,6.1.1.1,Escherichia coli,R144,Tyrosine-trna ligase,R02918,MRL,C00002; C00082; C00787,C00013; C00020; C02839,Km_C00013: 0.228255823; Km_C00020: 0.04558317; Km_C02839: 0.018; Km_C00002: 0.067798696; Km_C00082: 0.034101155; Km_C00787: 1.755185,Kcat_F: 2.674731336666667; Kcat_R: 1.2359670316666667,C00787;C00082;C00013;C02839;C00020;C00002,C02839_KI: 0.093934711;C00082_KI: 0.034101155;C00787_KI: 0.093934711;C00002_KI: 0.067798696;C00013_KI: 0.228255823;C00020_KI: 0.04558317
144,WP_001120798.1,1.6.1.1,Escherichia coli,R145,Nad(p)+ transhydrogenase (si-specific),R00112,MRL,C00003; C00005,C00004; C00006,Km_C00004: 0.03585609; Km_C00006: 0.050259922; Km_C00003: 0.093115918; Km_C00005: 0.068295,Kcat_F: 87.385062007; Kcat_R: 7.673110952,C00006;C00003;C01829;C00004;C03444;C00005;C00946,C03444_KI: 0.043866862;C00946_KI: 0.048814293;C00004_KI: 0.03585609;C00006_KI: 0.050259922;C00003_KI: 0.093115918;C00005_KI: 0.030309463;C01829_KI: 0.058410101
145,WP_000817178.1,2.3.1.41,Escherichia coli,R146,Beta-ketoacyl-[acyl-carrier-protein] synthase i,R02768,MRL,C00173; C01209,C00011; C00229; C00685,Km_C00011: 0.139709994; Km_C00229: 0.07560499700000001; Km_C00685: 0.07560499700000001; Km_C00173: 0.07560499700000001; Km_C01209: 0.0115,Kcat_F: 0.011; Kcat_R: 3.630524813,C05745;C05750;C01209;C05762;C00173;C05223;C03939;C05752;C05756;C05746;C00229;C05755;C00011;C05764;C05749;C05759;C16219;C05753;C05761;C05744;C00685,C05759_KI: 0.0747066095;C05744_KI: 0.0747066095;C05755_KI: 0.0747066095;C16219_KI: 0.009703225;C01209_KI: 0.0747066095;C00229_KI: 0.0747066095;C05752_KI: 0.0747066095;C05749_KI: 0.0747066095;C05223_KI: 0.0747066095;C05753_KI: 0.0747066095;C00011_KI: 0.139709994;C05764_KI: 0.0747066095;C05761_KI: 0.0747066095;C00173_KI: 0.0747066095;C05762_KI: 0.0747066095;C05756_KI: 0.0747066095;C03939_KI: 0.0747066095;C00685_KI: 0.0747066095;C05750_KI: 0.0747066095;C05746_KI: 0.0747066095;C05745_KI: 0.0747066095
154,WP_001271717.1,6.3.1.2,Escherichia coli,R155,Glutamine synthetase,R00253,MRL,C00002; C00014; C00025,C00008; C00009; C00064,Km_C00008: 0.066132165; Km_C00009: 1.038618565; Km_C00064: 0.467974067; Km_C00002: 0.080664948; Km_C00014: 0.269162536; Km_C00025: 0.546636522,Kcat_F: 46.37365841333334; Kcat_R: 51.98955729333334,C00352;C00065;C00768;C04650;C00041;C00169;C00135;C00009;C00037;C00008;C00020;C00014;C00078;C00063;C00064;C01401;C00025;C00716;C00806;C00002,C00020_KI: 0.056941126;C00806_KI: 0.084789552;C00352_KI: 0.465125531;C00768_KI: 0.246362343;C00064_KI: 0.467974067;C00008_KI: 0.066132165;C00078_KI: 0.084789552;C00169_KI: 0.152330294;C00041_KI: 1.02709198;C00025_KI: 0.546636522;C00063_KI: 0.125179395;C00716_KI: 0.779110312;C04650_KI: 0.300361156;C00037_KI: 1.081116319;C00065_KI: 0.779110312;C01401_KI: 1.02709198;C00009_KI: 1.038618565;C00014_KI: 0.269162536;C00135_KI: 0.246362343;C00002_KI: 0.080664948
156,WP_000138270.1,6.3.5.2,Escherichia coli,R157,Gmp synthase (glutamine-hydrolysing),R01230,MRL,C00002; C00014; C00655,C00013; C00020; C00144,Km_C00013: 0.292456239; Km_C00020: 0.061671037; Km_C00144: 0.060012028; Km_C00002: 0.074884042; Km_C00014: 3.654191256; Km_C00655: 0.066067107,Kcat_F: 4.195815674333333; Kcat_R: 2.3963256556666668,C00025;C00013;C00020;C16618;C00014;C00655;C00001;C16619;C00144;C00002;C00064,C00025_KI: 0.988497317;C00014_KI: 3.654191256;C16619_KI: 0.8152054875555554;C00013_KI: 0.292456239;C16618_KI: 0.8152054875555554;C00001_KI: 1.769340515;C00064_KI: 0.369729847;C00144_KI: 0.060012028;C00020_KI: 0.061671037;C00002_KI: 0.074884042;C00655_KI: 0.066067107
158,WP_001320168.1,3.2.1.93,Escherichia coli,R159,"Alpha,alpha-phosphotrehalase",R00837,MRL,C00001; C00689,C00031; C00092,Km_C00031: 4.239818573; Km_C00092: 1.051673889; Km_C00001: 1.866690278; Km_C00689: 1.276064992,Kcat_F: 119.47066300499999; Kcat_R: 163.1804734,C00001;C00092;C00689;C00031,C00001_KI: 1.866690278;C00031_KI: 4.239818573;C00689_KI: 1.276064992;C00092_KI: 1.051673889
159,WP_000003071.1,6.1.1.6,Escherichia coli,R160,Lysine-trna ligase,R03658,MRL,C00002; C00047; C01646,C00013; C00020; C01931,Km_C00013: 0.061598036; Km_C00020: 0.022625865; Km_C01931: 0.024212901200000005; Km_C00002: 0.021407852; Km_C00047: 0.011582753; Km_C01646: 0.00385,Kcat_F: 32.64351661; Kcat_R: 33.43177057666667,C00013;C00047;C00020;C01931;C01646;C00002,C01646_KI: 0.0293036265;C00020_KI: 0.022625865;C00047_KI: 0.011582753;C00013_KI: 0.061598036;C00002_KI: 0.021407852;C01931_KI: 0.0293036265
161,WP_000963837.1,2.7.4.6,Escherichia coli,R162,Nucleoside-diphosphate kinase,R00124,MRL,C00002; C00008,C00002; C00008,Km_C00002: 0.044982295; Km_C00008: 0.044687353,Kcat_F: 36.94316617111479; Kcat_R: 2.490197103,C00286;C01345;C00035;C00458;C00044;C00075;C00459;C11039;C00361;C01346;C00131;C00460;C00454;C00705;C00104;C00008;C00015;C00063;C11038;C00112;C00201;C00002;C00206;C01344;C00363;C00081,C00075_KI: 0.122390293;C00459_KI: 0.07205452;C00063_KI: 0.034876551;C00035_KI: 0.037396517;C00201_KI: 0.05383016418181818;C00458_KI: 0.041482605;C00460_KI: 0.073985979;C00015_KI: 0.146697119;C00112_KI: 0.037695441;C00008_KI: 0.044687353;C00104_KI: 0.048623119;C00131_KI: 0.032157894;C01346_KI: 0.094298355;C00361_KI: 0.034039162;C00286_KI: 0.032053493;C00002_KI: 0.044982295;C01345_KI: 0.033701587;C11038_KI: 0.05383016418181818;C00044_KI: 0.03311104;C00454_KI: 0.05383016418181818;C00363_KI: 0.071746349;C00705_KI: 0.042200845;C01344_KI: 0.037843809;C11039_KI: 0.05383016418181818;C00206_KI: 0.029951658;C00081_KI: 0.038287628
173,WP_000007283.1,1.15.1.1,Escherichia coli,R174,Superoxide dismutase,R00275,MRL,C00080; C00704,C00007; C00027,Km_C00007: 0.053577088; Km_C00027: 0.795091689; Km_C00080: 0.318160266; Km_C00704: 0.331186861,Kcat_F: 8.729575341; Kcat_R: 1952.521292,C00027;C00007;C00080;C00704,C00007_KI: 0.053577088;C00704_KI: 0.331186861;C00027_KI: 0.795091689;C00080_KI: 0.318160266
174,WP_000342648.1,1.1.1.40,Escherichia coli,R175,Malate dehydrogenase (oxaloacetate-decarboxylating) (nadp+),R00216,MRL,C00006; C00149,C00005; C00011; C00022; C00080,Km_C00005: 0.033877365; Km_C00011: 3.163388014; Km_C00022: 1.306477547; Km_C00080: 8.466877937; Km_C00006: 0.0415; Km_C00149: 3.41,Kcat_F: 48.624275915; Kcat_R: 112.87186270000001,C00006;C00122;C00022;C00004;C00011;C00036;C00024;C00575;C00149;C00005;C00080,C00149_KI: 1.17190659;C00006_KI: 0.067438193;C00575_KI: 0.043186046;C00080_KI: 8.466877937;C00004_KI: 0.04608649;C00005_KI: 0.033877365;C00122_KI: 0.928631544;C00024_KI: 0.063460633;C00011_KI: 3.163388014;C00036_KI: 0.527139127;C00022_KI: 1.306477547
176,WP_001230087.1,4.3.2.1,Escherichia coli,R177,Argininosuccinate lyase,R01086,MRL,C03406,C00062; C00122,Km_C00062: 0.144096389; Km_C00122: 0.35015291; Km_C03406: 0.099519268,Kcat_F: 7.483388988; Kcat_R: 328.782343657,C00122;C03406;C00062,C00122_KI: 0.35015291;C03406_KI: 0.099519268;C00062_KI: 0.144096389
177,WP_000078239.1,6.2.1.1,Escherichia coli,R178,Acetate-coa ligase,R00235,MRL,C00002; C00010; C00033,C00013; C00020; C00024,Km_C00013: 0.13318713; Km_C00020: 0.053331587; Km_C00024: 0.055413216; Km_C00002: 0.05487762; Km_C00010: 0.077155121; Km_C00033: 2.543298721,Kcat_F: 4.182973017; Kcat_R: 3.076708990333333,C00163;C00013;C00100;C05993;C00020;C00024;C05983;C00010;C00002;C00033,C05993_KI: 0.045171168;C00010_KI: 0.077155121;C00020_KI: 0.053331587;C00013_KI: 0.13318713;C00163_KI: 1.640108466;C00024_KI: 0.055413216;C05983_KI: 0.041168746;C00033_KI: 2.543298721;C00002_KI: 0.05487762;C00100_KI: 0.054458927
183,WP_001298109.1,2.7.6.1,Escherichia coli,R184,Ribose-phosphate diphosphokinase,R01049,MRL,C00002; C00117,C00020; C00119,Km_C00020: 0.038956955; Km_C00119: 0.106374189; Km_C00002: 0.039088059; Km_C00117: 0.19,Kcat_F: 1.2709115985000001; Kcat_R: 0.923097912,C00020;C00117;C00002;C00119,C00119_KI: 0.106374189;C00117_KI: 0.18693769;C00002_KI: 0.039088059;C00020_KI: 0.038956955
184,WP_001216325.1,5.3.1.1,Escherichia coli,R185,Triose-phosphate isomerase,R01015,MRL,C00118,C00111,Km_C00111: 0.518174112; Km_C00118: 0.976029575,Kcat_F: 1022.557862; Kcat_R: 166.9168823,C01478;C00111;C01172;C00158;C18713;C11215;C01159;C00042;C00118;C00988;C00002;C00127;C00631;C05345;C00074;C00197,C00042_KI: 0.843583286;C05345_KI: 1.265808582;C00118_KI: 0.976029575;C01172_KI: 1.299474835;C00158_KI: 0.747540236;C00127_KI: 0.090061627;C01159_KI: 0.462811947;C00988_KI: 0.458868831;C00111_KI: 0.518174112;C00002_KI: 0.092769779;C11215_KI: 0.7434423843333333;C00631_KI: 0.332032174;C01478_KI: 2.075099945;C18713_KI: 1.387103319;C00197_KI: 0.394266218;C00074_KI: 0.208011299
186,WP_001295554.1,2.7.7.8,Escherichia coli,R187,Polyribonucleotide nucleotidyltransferase,R00437,MRL,C00009,C00008; C00046,Km_C00008: 0.065446258; Km_C00046: 0.39387092; Km_C00009: 0.722295582,Kcat_F: 74.26703897; Kcat_R: 44.24138771,C00112;C00008;C00015;C00035;C00454;C00009;C00046,C00008_KI: 0.065446258;C00454_KI: 0.216159205;C00035_KI: 0.050594199;C00112_KI: 0.058480415;C00009_KI: 0.722295582;C00015_KI: 0.183979571;C00046_KI: 0.216159205
190,WP_000193841.1,3.4.11.2,Escherichia coli,R191,Membrane alanyl aminopeptidase,R00899,MRL,C00001; C01419,C00037; C00097,Km_C00037: 0.432252526; Km_C00097: 0.078138947; Km_C00001: 0.510772526; Km_C01419: 0.247555748,Kcat_F: 6.2546518715; Kcat_R: 0.312186785,C01419;C00037;C00097;C05729;C00001;C05726,C01419_KI: 0.247555748;C00097_KI: 0.078138947;C00037_KI: 0.432252526;C05726_KI: 0.31717993675;C00001_KI: 0.510772526;C05729_KI: 0.31717993675
193,WP_000537418.1,1.8.1.9,Escherichia coli,R194,Thioredoxin-disulfide reductase,R00900,MRL,C00006; C00051; C00097,C00005; C05526,Km_C00005: 0.001; Km_C05526: 0.028693747; Km_C00006: 0.015422226; Km_C00051: 0.057596125; Km_C00097: 0.039634574,Kcat_F: 9.830325756; Kcat_R: 25.379884565,C00006;C00343;C00342;C00097;C05684;C00001;C05703;C01528;C00005;C05526;C00051;C00080;C18902,C00006_KI: 0.015422226;C00001_KI: 0.091190882;C00005_KI: 0.005592353;C00080_KI: 0.074338257;C05526_KI: 0.028693747;C18902_KI: 0.411735684;C05703_KI: 0.171873853;C00343_KI: 0.1050089042727273;C00097_KI: 0.039634574;C05684_KI: 0.241273254;C00051_KI: 0.057596125;C00342_KI: 0.1050089042727273;C01528_KI: 0.017746992
196,WP_000811065.1,2.5.1.55,Escherichia coli,R197,3-deoxy-8-phosphooctulonate synthase,R03254,MRL,C00009; C04478,C00001; C00074; C01112,Km_C00001: 2.078688383; Km_C00074: 0.006; Km_C01112: 0.05; Km_C00009: 0.913066804; Km_C04478: 0.054237977,Kcat_F: 2.530745406; Kcat_R: 2.5694122696666666,C00001;C00009;C00074;C01112;C04478,C00001_KI: 2.078688383;C00009_KI: 0.913066804;C00074_KI: 0.015966484;C01112_KI: 0.02829008;C04478_KI: 0.054237977
197,WP_000207665.1,6.3.4.5,Escherichia coli,R198,Argininosuccinate synthase,R01954,MRL,C00002; C00049; C00327,C00013; C00020; C03406,Km_C00013: 0.359019458; Km_C00020: 0.05730173; Km_C03406: 0.255128026; Km_C00002: 0.063633703; Km_C00049: 0.976605654; Km_C00327: 0.332633585,Kcat_F: 18.339954576333334; Kcat_R: 21.6042526,C03406;C00013;C00020;C00327;C00002;C00049,C03406_KI: 0.255128026;C00327_KI: 0.332633585;C00020_KI: 0.05730173;C00049_KI: 0.976605654;C00002_KI: 0.063633703;C00013_KI: 0.359019458
199,WP_001320171.1,5.4.2.2,Escherichia coli,R200,"Phosphoglucomutase (alpha-d-glucose-1,6-bisphosphate-dependent)",R00959,MRL,C00103,C00668,Km_C00668: 0.569383681; Km_C00103: 0.403784841,Kcat_F: 16.40078191; Kcat_R: 13.31428543,C03735;C00620;C01171;C00092;C00668;C00117;C00103,C01171_KI: 0.403784841;C00668_KI: 0.569383681;C00103_KI: 0.403784841;C00092_KI: 0.569383681;C00620_KI: 0.530358553;C00117_KI: 0.554221213;C03735_KI: 0.569383681
202,WP_001287154.1,6.1.1.18,Escherichia coli,R203,Glutamine-trna ligase,R03652,MRL,C00002; C00064; C01640,C00013; C00020; C02282,Km_C00013: 0.28708294; Km_C00020: 0.102748483; Km_C02282: 0.1772695792; Km_C00002: 0.123729959; Km_C00064: 0.217777014; Km_C01640: 0.1550095,Kcat_F: 3.3090430936666664; Kcat_R: 1.781011244,C00013;C00020;C01640;C00002;C00064;C02282,C00064_KI: 0.217777014;C01640_KI: 0.182834599;C00002_KI: 0.123729959;C00013_KI: 0.28708294;C02282_KI: 0.182834599;C00020_KI: 0.102748483
203,WP_001213837.1,2.3.1.29,Escherichia coli,R204,Glycine c-acetyltransferase,R00371,MRL,C00024; C00037,C00010; C03508,Km_C00010: 0.068333149; Km_C03508: 1.101451039; Km_C00024: 0.059; Km_C00037: 5.073134899,Kcat_F: 3.7902290295; Kcat_R: 6.892366117,C00037;C00010;C03508;C00024,C00010_KI: 0.068333149;C03508_KI: 1.101451039;C00024_KI: 0.064529642;C00037_KI: 5.073134899
204,WP_000057149.1,2.6.1.52,Escherichia coli,R205,Phosphoserine transaminase,R04173,MRL,C00026; C01005,C00025; C03232,Km_C00025: 0.402611285; Km_C03232: 0.004; Km_C00026: 0.109017409; Km_C01005: 0.027,Kcat_F: 0.38498400600000005; Kcat_R: 1.3643104094999998,C00025;C06054;C06055;C00026;C03232;C01005,C06055_KI: 0.090429582;C00025_KI: 0.402611285;C06054_KI: 0.042254757;C00026_KI: 0.109017409;C03232_KI: 0.039337881;C01005_KI: 0.134626031
206,WP_000045290.1,5.4.3.8,Escherichia coli,R207,"Glutamate-1-semialdehyde 2,1-aminomutase",R02272,MRL,C00430,C03741,Km_C03741: 0.485003531; Km_C00430: 0.407886654,Kcat_F: 39.74302276; Kcat_R: 58.12236566,C03741;C00430,C00430_KI: 0.407886654;C03741_KI: 0.485003531
