Accession Number,EC,Species,Label,Enzyme,Reaction ID,Substrates,Products,Km,Kcat
WP_000018596.1,6.1.1.20,,R166,Phenylalanine-trna ligase,R03660,C00002; C00079; C01648,C00013; C00020; C03511,Km_C00013: 0.1102247014641761; Km_C00020: 0.0219499245285987; Km_C03511: nan; Km_C00002: 0.0277286227792501; Km_C00079: 0.0425577200949192; Km_C01648: 923.0,Kcat_F: 9.254705883861169; Kcat_R: 5.976316175995899
WP_001295247.1,4.1.99.1,,R167,Tryptophanase,R00673,C00001; C00078,C00014; C00022; C00463,Km_C00014: 14.70998764038086; Km_C00022: 70.0; Km_C00463: 12.0; Km_C00001: 10.89367961883545; Km_C00078: 0.3380062282085418,Kcat_F: 1.6122283249736657; Kcat_R: 3.8419664538160703
WP_000117881.1,6.1.1.22,,R168,Asparagine-trna ligase,R03648,C00002; C00152; C01637,C00013; C00020; C03402,Km_C00013: 0.1007253602147102; Km_C00020: 0.038245003670454; Km_C03402: nan; Km_C00002: 0.0416454896330833; Km_C00152: 0.0765196308493614; Km_C01637: nan,Kcat_F: 2.36357543973544; Kcat_R: 1.2751226975436303
WP_001107167.1,6.1.1.21,,R169,Histidine-trna ligase,R03655,C00002; C00135; C01643,C00013; C00020; C02988,Km_C00013: 0.1375525593757629; Km_C00020: 0.0392814502120018; Km_C02988: nan; Km_C00002: 0.0711933448910713; Km_C00135: 0.0736345127224922; Km_C01643: 0.00096,Kcat_F: 1.2982134299997043; Kcat_R: 1.6504742088529727
WP_001300978.1,6.1.1.10,,R170,Methionine-trna ligase,R03659,C00002; C00073; C01647,C00013; C00020; C02430,Km_C00013: 0.1794056594371795; Km_C00020: 0.0497294254601001; Km_C02430: nan; Km_C00002: 0.0858988314867019; Km_C00073: 0.1471000164747238; Km_C01647: 25.501515,Kcat_F: 3.6022915668515876; Kcat_R: 4.597540144623922
WP_001300978.1,6.1.1.10,,R171,Methionine-trna ligase,R04773,C00002; C01647; C05335,C00013; C00020; C05336,Km_C00013: 0.1794056594371795; Km_C00020: 0.0497294254601001; Km_C05336: nan; Km_C00002: 0.0858988314867019; Km_C01647: 25.501515; Km_C05335: 0.2705052196979522,Kcat_F: 2.219782420011065; Kcat_R: 4.597540144623922
WP_000884639.1,6.3.4.14,,R172,Biotin carboxylase,R04385,C00002; C00288; C06250,C00008; C00009; C04419,Km_C00008: 0.0284777265042066; Km_C00009: 0.9804778695106506; Km_C04419: nan; Km_C00002: 0.0434653386473655; Km_C00288: 29.266433333333335; Km_C06250: 0.16,Kcat_F: 5.698406123881495; Kcat_R: 0.051732660108727596
WP_001301026.1,6.1.1.1,,R173,Tyrosine-trna ligase,R02918,C00002; C00082; C00787,C00013; C00020; C02839,Km_C00013: 0.2282558232545852; Km_C00020: 0.0455831699073314; Km_C02839: 0.0002; Km_C00002: 0.0677986964583396; Km_C00082: 0.0341011546552181; Km_C00787: 1.755185,Kcat_F: 2.6747313367569796; Kcat_R: 1.798950547483905
WP_000597260.1,6.3.5.5,,R174,Carbamoyl-phosphate synthase (glutamine-hydrolysing),R00256,C00001; C00064,C00014; C00025,Km_C00014: 2.051671028137207; Km_C00025: 0.9951287508010864; Km_C00001: 0.8124236464500427; Km_C00064: 0.4618737995624542,Kcat_F: 5.671478203180347; Kcat_R: 9.334795603903348
WP_000597260.1,6.3.5.5,,R175,Carbamoyl-phosphate synthase (glutamine-hydrolysing),R00575,C00001; C00002; C00064; C00288,C00008; C00009; C00025; C00169,Km_C00008: 0.0553221218287944; Km_C00009: 1.3655771017074585; Km_C00025: 0.9951287508010864; Km_C00169: 0.3458380401134491; Km_C00001: 0.8124236464500427; Km_C00002: 0.0672368705272674; Km_C00064: 0.4618737995624542; Km_C00288: 1.4766666666666666,Kcat_F: 4.780894869857223; Kcat_R: 5.177480616800467
WP_000597260.1,6.3.5.5,,R176,Carbamoyl-phosphate synthase (glutamine-hydrolysing),R07641,C00002; C00014; C00288,C00008; C00009; C00169,Km_C00008: 0.0553221218287944; Km_C00009: 1.3655771017074585; Km_C00169: 0.3458380401134491; Km_C00002: 0.0672368705272674; Km_C00014: 2.051671028137207; Km_C00288: 1.4766666666666666,Kcat_F: 6.907218447302774; Kcat_R: 4.993787842745097
WP_001120798.1,1.6.1.1,,R177,Nad(p)+ transhydrogenase (si-specific),R00112,C00003; C00005,C00004; C00006,Km_C00004: 0.0358560904860496; Km_C00006: 0.0502599216997623; Km_C00003: 0.0931159183382988; Km_C00005: 0.1332,Kcat_F: 133.1850620068274; Kcat_R: 7.6731109515494405
WP_000817178.1,2.3.1.41,,R178,Beta-ketoacyl-[acyl-carrier-protein] synthase i,R02768,C00173; C01209,C00011; C00229; C00685,Km_C00011: 0.1397099941968917; Km_C00229: nan; Km_C00685: nan; Km_C00173: nan; Km_C01209: 0.029,Kcat_F: 0.11; Kcat_R: 3.630524812794437
WP_000817178.1,2.3.1.41,,R179,Beta-ketoacyl-[acyl-carrier-protein] synthase i,R04355,C01209; C03939,C00011; C00229; C05744,Km_C00011: 0.1397099941968917; Km_C00229: nan; Km_C05744: nan; Km_C01209: 0.029; Km_C03939: 0.07750000000000001,Kcat_F: 0.11; Kcat_R: 3.630524812794437
WP_000817178.1,2.3.1.41,,R180,Beta-ketoacyl-[acyl-carrier-protein] synthase i,R04726,C01209; C05223,C00011; C00229; C05759,Km_C00011: 0.1397099941968917; Km_C00229: nan; Km_C05759: nan; Km_C01209: 0.029; Km_C05223: nan,Kcat_F: 0.11; Kcat_R: 3.630524812794437
WP_000817178.1,2.3.1.41,,R181,Beta-ketoacyl-[acyl-carrier-protein] synthase i,R04952,C01209; C05745,C00011; C00229; C05746,Km_C00011: 0.1397099941968917; Km_C00229: nan; Km_C05746: nan; Km_C01209: 0.029; Km_C05745: nan,Kcat_F: 0.11; Kcat_R: 3.630524812794437
WP_000817178.1,2.3.1.41,,R182,Beta-ketoacyl-[acyl-carrier-protein] synthase i,R04957,C01209; C05749,C00011; C00229; C05750,Km_C00011: 0.1397099941968917; Km_C00229: nan; Km_C05750: nan; Km_C01209: 0.029; Km_C05749: nan,Kcat_F: 0.11; Kcat_R: 3.630524812794437
WP_000817178.1,2.3.1.41,,R183,Beta-ketoacyl-[acyl-carrier-protein] synthase i,R04960,C01209; C05752,C00011; C00229; C05753,Km_C00011: 0.1397099941968917; Km_C00229: nan; Km_C05753: nan; Km_C01209: 0.029; Km_C05752: nan,Kcat_F: 0.11; Kcat_R: 3.630524812794437
WP_000817178.1,2.3.1.41,,R184,Beta-ketoacyl-[acyl-carrier-protein] synthase i,R04963,C01209; C05755,C00011; C00229; C05756,Km_C00011: 0.1397099941968917; Km_C00229: nan; Km_C05756: nan; Km_C01209: 0.029; Km_C05755: nan,Kcat_F: 0.11; Kcat_R: 3.630524812794437
WP_000817178.1,2.3.1.41,,R185,Beta-ketoacyl-[acyl-carrier-protein] synthase i,R04968,C01209; C05761,C00011; C00229; C05762,Km_C00011: 0.1397099941968917; Km_C00229: nan; Km_C05762: nan; Km_C01209: 0.029; Km_C05761: nan,Kcat_F: 0.11; Kcat_R: 3.630524812794437
WP_000817178.1,2.3.1.41,,R186,Beta-ketoacyl-[acyl-carrier-protein] synthase i,R07762,C01209; C05764,C00011; C00229; C16219,Km_C00011: 0.1397099941968917; Km_C00229: nan; Km_C16219: 0.0097032245248556; Km_C01209: 0.029; Km_C05764: nan,Kcat_F: 0.11; Kcat_R: 2.164898391226527
WP_001271717.1,6.3.1.2,,R187,Glutamine synthetase,R00253,C00002; C00014; C00025,C00008; C00009; C00064,Km_C00008: 0.0661321654915809; Km_C00009: 1.038618564605713; Km_C00064: 0.4679740667343139; Km_C00002: 0.0806649476289749; Km_C00014: 0.2691625356674194; Km_C00025: 0.5466365218162537,Kcat_F: 46.373658412006954; Kcat_R: 51.98955729259084
WP_000138270.1,6.3.5.2,,R188,Gmp synthase (glutamine-hydrolysing),R01231,C00001; C00002; C00064; C00655,C00013; C00020; C00025; C00144,Km_C00013: 0.2924562394618988; Km_C00020: 0.0616710372269153; Km_C00025: 0.9884973168373108; Km_C00144: 0.0600120276212692; Km_C00001: 1.7693405151367188; Km_C00002: 0.0748840421438217; Km_C00064: 0.3697298467159271; Km_C00655: 0.0660671070218086,Kcat_F: 3.4199663252431285; Kcat_R: 2.601690029218815
WP_000138270.1,6.3.5.2,,R189,Gmp synthase (glutamine-hydrolysing),R01230,C00002; C00014; C00655,C00013; C00020; C00144,Km_C00013: 0.2924562394618988; Km_C00020: 0.0616710372269153; Km_C00144: 0.0600120276212692; Km_C00002: 0.0748840421438217; Km_C00014: 3.654191255569458; Km_C00655: 0.0660671070218086,Kcat_F: 4.195815674517174; Kcat_R: 2.3963256557497616
WP_000138270.1,6.3.5.2,,R190,Gmp synthase (glutamine-hydrolysing),R08244,C00001; C00002; C00064; C16618,C00013; C00020; C00025; C16619,Km_C00013: 0.2924562394618988; Km_C00020: 0.0616710372269153; Km_C00025: 0.9884973168373108; Km_C16619: nan; Km_C00001: 1.7693405151367188; Km_C00002: 0.0748840421438217; Km_C00064: 0.3697298467159271; Km_C16618: nan,Kcat_F: 3.5473377129276784; Kcat_R: 2.371041356309988
WP_001320168.1,3.2.1.93,,R191,"Alpha,alpha-phosphotrehalase",R00837,C00001; C00689,C00031; C00092,Km_C00031: 4.239818572998047; Km_C00092: 1.0516738891601562; Km_C00001: 1.866690278053284; Km_C00689: 1.2760649919509888,Kcat_F: 119.4706630281172; Kcat_R: 163.18047338886853
WP_000003071.1,6.1.1.6,,R192,Lysine-trna ligase,R03658,C00002; C00047; C01646,C00013; C00020; C01931,Km_C00013: 0.0615980364382267; Km_C00020: 0.0226258654147386; Km_C01931: nan; Km_C00002: 0.0214078519493341; Km_C00047: 0.0115827526897192; Km_C01646: 0.00385,Kcat_F: 32.64351660995481; Kcat_R: 33.43177057782114
WP_000963837.1,2.7.4.6,,R193,Nucleoside-diphosphate kinase,R00331,C00002; C00454,C00008; C00201,Km_C00008: 0.0446873530745506; Km_C00201: nan; Km_C00002: 0.0449822954833507; Km_C00454: nan,Kcat_F: 2.097651221238712; Kcat_R: 2.882742984619574
WP_000963837.1,2.7.4.6,,R194,Nucleoside-diphosphate kinase,R00124,,C00002; C00008,Km_C00002: 0.0449822954833507; Km_C00008: 0.0446873530745506,Kcat_F: nan; Kcat_R: 2.4901971029291428
WP_000963837.1,2.7.4.6,,R195,Nucleoside-diphosphate kinase,R00139,C00002; C11038,C00008; C11039,Km_C00008: 0.0446873530745506; Km_C11039: nan; Km_C00002: 0.0449822954833507; Km_C11038: nan,Kcat_F: 2.097651221238712; Kcat_R: 2.882742984619574
WP_000963837.1,2.7.4.6,,R196,Nucleoside-diphosphate kinase,R00156,C00002; C00015,C00008; C00075,Km_C00008: 0.0446873530745506; Km_C00075: 0.122390292584896; Km_C00002: 0.0449822954833507; Km_C00015: 0.1466971188783645,Kcat_F: 1.4362652528286621; Kcat_R: 1.7123357039061866
WP_000963837.1,2.7.4.6,,R197,Nucleoside-diphosphate kinase,R00330,C00002; C00035,C00008; C00044,Km_C00008: 0.0446873530745506; Km_C00044: 0.0331110395491123; Km_C00002: 0.0449822954833507; Km_C00035: 0.0373965166509151,Kcat_F: 1.3277208456104648; Kcat_R: 1.668348844909153
WP_000963837.1,2.7.4.6,,R198,Nucleoside-diphosphate kinase,R00570,C00002; C00112,C00008; C00063,Km_C00008: 0.0446873530745506; Km_C00063: 0.0348765514791011; Km_C00002: 0.0449822954833507; Km_C00112: 0.0376954413950443,Kcat_F: 1.7374497758037037; Kcat_R: 1.7756661753440812
WP_000963837.1,2.7.4.6,,R199,Nucleoside-diphosphate kinase,R00722,C00002; C00104,C00008; C00081,Km_C00008: 0.0446873530745506; Km_C00081: 0.038287628442049; Km_C00002: 0.0449822954833507; Km_C00104: 0.0486231185495853,Kcat_F: 1.9875720635442442; Kcat_R: 1.94919128022975
WP_000963837.1,2.7.4.6,,R200,Nucleoside-diphosphate kinase,R01137,C00002; C00206,C00008; C00131,Km_C00008: 0.0446873530745506; Km_C00131: 0.0321578942239284; Km_C00002: 0.0449822954833507; Km_C00206: 0.0299516580998897,Kcat_F: 1.4008205504872437; Kcat_R: 1.6955280369885888
WP_000963837.1,2.7.4.6,,R201,Nucleoside-diphosphate kinase,R01857,C00002; C00361,C00008; C00286,Km_C00008: 0.0446873530745506; Km_C00286: 0.032053492963314; Km_C00002: 0.0449822954833507; Km_C00361: 0.0340391620993614,Kcat_F: 1.188745827371281; Kcat_R: 1.5659892962558248
WP_000963837.1,2.7.4.6,,R202,Nucleoside-diphosphate kinase,R02093,C00002; C00363,C00008; C00459,Km_C00008: 0.0446873530745506; Km_C00459: 0.0720545202493667; Km_C00002: 0.0449822954833507; Km_C00363: 0.0717463493347168,Kcat_F: 1.437704787804679; Kcat_R: 1.708714257070715
WP_000963837.1,2.7.4.6,,R203,Nucleoside-diphosphate kinase,R02326,C00002; C00705,C00008; C00458,Km_C00008: 0.0446873530745506; Km_C00458: 0.0414826050400733; Km_C00002: 0.0449822954833507; Km_C00705: 0.0422008447349071,Kcat_F: 1.5058262555804514; Kcat_R: 1.7095006374748694
WP_000963837.1,2.7.4.6,,R204,Nucleoside-diphosphate kinase,R02331,C00002; C01346,C00008; C00460,Km_C00008: 0.0446873530745506; Km_C00460: 0.0739859789609909; Km_C00002: 0.0449822954833507; Km_C01346: 0.094298355281353,Kcat_F: 1.3655817511450423; Kcat_R: 1.6535409789896207
WP_000963837.1,2.7.4.6,,R205,Nucleoside-diphosphate kinase,R03530,C00002; C01344,C00008; C01345,Km_C00008: 0.0446873530745506; Km_C01345: 0.0337015874683856; Km_C00002: 0.0449822954833507; Km_C01344: 0.0378438085317611,Kcat_F: 1.2685562144652587; Kcat_R: 1.6239492060878524
WP_000007283.1,1.15.1.1,,R206,Superoxide dismutase,R00275,C00080; C00704,C00007; C00027,Km_C00007: 0.0535770878195762; Km_C00027: 0.7950916886329651; Km_C00080: 0.3181602656841278; Km_C00704: 0.3311868607997894,Kcat_F: 8.729575341133527; Kcat_R: 1952.5212921819318
WP_000342648.1,1.1.1.40,,R207,Malate dehydrogenase (oxaloacetate-decarboxylating) (nadp+),R00216,C00006; C00149,C00005; C00011; C00022; C00080,Km_C00005: 0.0338773652911186; Km_C00011: 3.1633880138397217; Km_C00022: 1.3064775466918943; Km_C00080: 8.466877937316895; Km_C00006: 0.0415; Km_C00149: 3.41,Kcat_F: 48.62427591282406; Kcat_R: 112.87186268050664
WP_000342648.1,1.1.1.40,,R208,Malate dehydrogenase (oxaloacetate-decarboxylating) (nadp+),R00217,C00036,C00011; C00022,Km_C00011: 3.1633880138397217; Km_C00022: 1.3064775466918943; Km_C00036: 0.5271391272544861,Kcat_F: 318.2635948627185; Kcat_R: 116.97114324375192
WP_001230087.1,4.3.2.1,,R209,Argininosuccinate lyase,R01086,C03406,C00062; C00122,Km_C00062: 0.1440963894128799; Km_C00122: 0.3501529097557068; Km_C03406: 0.0995192676782608,Kcat_F: 7.483388988078903; Kcat_R: 328.78234366009144
WP_000078239.1,6.2.1.1,,R210,Acetate-coa ligase,R00235,C00002; C00010; C00033,C00013; C00020; C00024,Km_C00013: 0.1331871300935745; Km_C00020: 0.0533315874636173; Km_C00024: 0.0554132163524627; Km_C00002: 0.054877620190382; Km_C00010: 0.0771551206707954; Km_C00033: 2.543298721313477,Kcat_F: 4.18297301689542; Kcat_R: 3.076708990208271
WP_000078239.1,6.2.1.1,,R211,Acetate-coa ligase,R00236,C00010; C05993,C00020; C00024,Km_C00020: 0.0533315874636173; Km_C00024: 0.0554132163524627; Km_C00010: 0.0771551206707954; Km_C05993: 0.0451711677014827,Kcat_F: 5.986188441446668; Kcat_R: 4.51281094045936
WP_000078239.1,6.2.1.1,,R212,Acetate-coa ligase,R00316,C00002; C00033,C00013; C05993,Km_C00013: 0.1331871300935745; Km_C05993: 0.0451711677014827; Km_C00002: 0.054877620190382; Km_C00033: 2.543298721313477,Kcat_F: 3.271660328002325; Kcat_R: 3.0856417889589087
WP_000078239.1,6.2.1.1,,R213,Acetate-coa ligase,R00925,C00002; C00010; C00163,C00013; C00020; C00100,Km_C00013: 0.1331871300935745; Km_C00020: 0.0533315874636173; Km_C00100: 0.0544589273631572; Km_C00002: 0.054877620190382; Km_C00010: 0.0771551206707954; Km_C00163: 1.6401084661483765,Kcat_F: 4.289959127871561; Kcat_R: 3.190812544559231
WP_000078239.1,6.2.1.1,,R214,Acetate-coa ligase,R00926,C00010; C05983,C00020; C00100,Km_C00020: 0.0533315874636173; Km_C00100: 0.0544589273631572; Km_C00010: 0.0771551206707954; Km_C05983: 0.0411687456071376,Kcat_F: 5.2653241337362875; Kcat_R: 4.683966271985801
WP_000078239.1,6.2.1.1,,R215,Acetate-coa ligase,R01354,C00002; C00163,C00013; C05983,Km_C00013: 0.1331871300935745; Km_C05983: 0.0411687456071376; Km_C00002: 0.054877620190382; Km_C00163: 1.6401084661483765,Kcat_F: 3.4321394944665355; Kcat_R: 2.3647774812485283
WP_001298109.1,2.7.6.1,,R216,Ribose-phosphate diphosphokinase,R01049,C00002; C00117,C00020; C00119,Km_C00020: 0.0389569550752639; Km_C00119: 0.1063741892576217; Km_C00002: 0.0390880592167377; Km_C00117: 0.19,Kcat_F: 1.270911598564573; Kcat_R: 0.9230979120065694
WP_001216325.1,5.3.1.1,,R217,Triose-phosphate isomerase,R01015,C00118,C00111,Km_C00111: 0.5181741118431091; Km_C00118: 0.9760295748710632,Kcat_F: 1022.557862371956; Kcat_R: 166.9168822851952
WP_001295554.1,2.7.7.8,,R218,Polyribonucleotide nucleotidyltransferase,R07282,C00009,C00046; C00454,Km_C00046: nan; Km_C00454: nan; Km_C00009: 0.7222955822944641,Kcat_F: 74.26703897422533; Kcat_R: nan
WP_001295554.1,2.7.7.8,,R219,Polyribonucleotide nucleotidyltransferase,R00437,C00009,C00008; C00046,Km_C00008: 0.0654462575912475; Km_C00046: nan; Km_C00009: 0.7222955822944641,Kcat_F: 74.26703897422533; Kcat_R: 44.24138770578018
WP_001295554.1,2.7.7.8,,R220,Polyribonucleotide nucleotidyltransferase,R00438,C00009,C00015; C00046,Km_C00015: 0.1839795708656311; Km_C00046: nan; Km_C00009: 0.7222955822944641,Kcat_F: 74.26703897422533; Kcat_R: 41.77219181740219
WP_001295554.1,2.7.7.8,,R221,Polyribonucleotide nucleotidyltransferase,R00439,C00009,C00035; C00046,Km_C00035: 0.0505941994488239; Km_C00046: nan; Km_C00009: 0.7222955822944641,Kcat_F: 74.26703897422533; Kcat_R: 40.59811599181639
WP_001295554.1,2.7.7.8,,R222,Polyribonucleotide nucleotidyltransferase,R00440,C00009,C00046; C00112,Km_C00046: nan; Km_C00112: 0.0584804154932498; Km_C00009: 0.7222955822944641,Kcat_F: 74.26703897422533; Kcat_R: 54.93837149155313
WP_000193841.1,3.4.11.2,,R223,Membrane alanyl aminopeptidase,R00899,C00001; C01419,C00037; C00097,Km_C00037: 0.4322525262832641; Km_C00097: 0.0781389474868774; Km_C00001: 0.5107725262641907; Km_C01419: 0.2475557476282119,Kcat_F: 6.254651873684781; Kcat_R: 0.3121867848539661
WP_000193841.1,3.4.11.2,,R224,Membrane alanyl aminopeptidase,R04951,C00001; C05729,C00037; C05726,Km_C00037: 0.4322525262832641; Km_C05726: nan; Km_C00001: 0.5107725262641907; Km_C05729: nan,Kcat_F: 2.126975492793766; Kcat_R: 0.5193107001987235
WP_000537418.1,1.8.1.9,,R225,Thioredoxin-disulfide reductase,R02016,C00006; C00342,C00005; C00080; C00343,Km_C00005: 0.001; Km_C00080: 0.0743382573127746; Km_C00343: nan; Km_C00006: 0.0154222259297966; Km_C00342: nan,Kcat_F: 29.681650330623746; Kcat_R: 13.56014819874248
WP_000537418.1,1.8.1.9,,R226,Thioredoxin-disulfide reductase,R00900,C00006; C00051; C00097,C00005; C05526,Km_C00005: 0.001; Km_C05526: 0.0286937467753887; Km_C00006: 0.0154222259297966; Km_C00051: 0.0575961247086524; Km_C00097: 0.0396345742046833,Kcat_F: 9.830325755322287; Kcat_R: 25.37988456251893
WP_000537418.1,1.8.1.9,,R227,Thioredoxin-disulfide reductase,R03596,C00001; C00006; C01528,C00005; C00080; C05684,Km_C00005: 0.001; Km_C00080: 0.0743382573127746; Km_C05684: 0.2412732541561126; Km_C00001: 0.0911908820271492; Km_C00006: 0.0154222259297966; Km_C01528: 0.0177469924092292,Kcat_F: 4.036162023165374; Kcat_R: 7.509745815719574
WP_000537418.1,1.8.1.9,,R228,Thioredoxin-disulfide reductase,R09372,C00005; C00080; C18902,C00001; C00006; C05703,Km_C00001: 0.0911908820271492; Km_C00006: 0.0154222259297966; Km_C05703: 0.171873852610588; Km_C00005: 0.001; Km_C00080: 0.0743382573127746; Km_C18902: 0.4117356836795807,Kcat_F: 7.51645403584069; Kcat_R: 4.018949430501925
WP_000811065.1,2.5.1.55,,R229,3-deoxy-8-phosphooctulonate synthase,R03254,C00009; C04478,C00001; C00074; C01112,Km_C00001: 2.078688383102417; Km_C00074: 0.006; Km_C01112: 0.05; Km_C00009: 0.9130668044090272; Km_C04478: 0.0542379766702652,Kcat_F: 2.530745406333432; Kcat_R: 2.569412269604951
WP_000207665.1,6.3.4.5,,R230,Argininosuccinate synthase,R01954,C00002; C00049; C00327,C00013; C00020; C03406,Km_C00013: 0.3590194582939148; Km_C00020: 0.0573017299175262; Km_C03406: 0.2551280260086059; Km_C00002: 0.0636337026953697; Km_C00049: 0.9766056537628174; Km_C00327: 0.3326335847377777,Kcat_F: 18.339954576242125; Kcat_R: 21.604252597952406
WP_001320171.1,5.4.2.2,,R231,"Phosphoglucomutase (alpha-d-glucose-1,6-bisphosphate-dependent)",R08639,C00103,C00092,Km_C00092: 0.5693836808204651; Km_C00103: 0.403784841299057,Kcat_F: 16.400781906670094; Kcat_R: 13.314285432286166
WP_001320171.1,5.4.2.2,,R232,"Phosphoglucomutase (alpha-d-glucose-1,6-bisphosphate-dependent)",R00959,C00103,C00668,Km_C00668: 0.5693836808204651; Km_C00103: 0.403784841299057,Kcat_F: 16.400781906670094; Kcat_R: 13.314285432286166
WP_001320171.1,5.4.2.2,,R233,"Phosphoglucomutase (alpha-d-glucose-1,6-bisphosphate-dependent)",R01057,C00620,C00117,Km_C00117: 0.5542212128639221; Km_C00620: 0.5303585529327393,Kcat_F: 17.617135167477713; Kcat_R: 14.044246239714134
WP_001320171.1,5.4.2.2,,R234,"Phosphoglucomutase (alpha-d-glucose-1,6-bisphosphate-dependent)",R03319,C01171,C03735,Km_C03735: 0.5693836808204651; Km_C01171: 0.403784841299057,Kcat_F: 16.400781906670094; Kcat_R: 13.314285432286166
WP_001287154.1,6.1.1.18,,R235,Glutamine-trna ligase,R03652,C00002; C00064; C01640,C00013; C00020; C02282,Km_C00013: 0.2870829403400421; Km_C00020: 0.1027484834194183; Km_C02282: nan; Km_C00002: 0.1237299591302871; Km_C00064: 0.2177770137786865; Km_C01640: 0.1550095,Kcat_F: 3.3090430937304602; Kcat_R: 1.781011243963463
WP_000477227.1,5.2.1.8,,R236,Peptidylprolyl isomerase,R04273,C03798,C03633,Km_C03633: nan; Km_C03798: nan,Kcat_F: nan; Kcat_R: nan
WP_001213837.1,2.3.1.29,,R237,Glycine c-acetyltransferase,R00371,C00024; C00037,C00010; C03508,Km_C00010: 0.0683331489562988; Km_C03508: 1.10145103931427; Km_C00024: 0.059; Km_C00037: 5.073134899139404,Kcat_F: 3.7902290293639145; Kcat_R: 6.8923661167752375
WP_000057149.1,2.6.1.52,,R238,Phosphoserine transaminase,R04173,C00026; C01005,C00025; C03232,Km_C00025: 0.4026112854480743; Km_C03232: 0.004; Km_C00026: 0.1090174093842506; Km_C01005: 0.027,Kcat_F: 0.384984005959642; Kcat_R: 1.364310409548894
WP_000057149.1,2.6.1.52,,R239,Phosphoserine transaminase,R05085,C00026; C06055,C00025; C06054,Km_C00025: 0.4026112854480743; Km_C06054: 0.0422547571361064; Km_C00026: 0.1090174093842506; Km_C06055: 0.11,Kcat_F: 0.18748400595964199; Kcat_R: 1.1995465379791828
WP_000045290.1,5.4.3.8,,R240,"Glutamate-1-semialdehyde 2,1-aminomutase",R02272,C00430,C03741,Km_C03741: 0.4850035309791565; Km_C00430: 0.407886654138565,Kcat_F: 39.74302276269388; Kcat_R: 58.12236565948636
WP_000208515.1,2.6.1.42,,R241,Branched-chain-amino-acid transaminase,R01090,C00026; C00123,C00025; C00233,Km_C00025: 1.5691969394683838; Km_C00233: 0.42; Km_C00026: 1.848888888888889; Km_C00123: 0.5947909951210022,Kcat_F: 0.3661901958282083; Kcat_R: 3.5759410169016452
WP_000208515.1,2.6.1.42,,R242,Branched-chain-amino-acid transaminase,R01214,C00026; C00183,C00025; C00141,Km_C00025: 1.5691969394683838; Km_C00141: 0.56; Km_C00026: 1.848888888888889; Km_C00183: 0.8264894485473633,Kcat_F: 0.3163567505045887; Kcat_R: 0.40021517219615255
WP_000208515.1,2.6.1.42,,R243,Branched-chain-amino-acid transaminase,R02199,C00026; C00407,C00025; C00671,Km_C00025: 1.5691969394683838; Km_C00671: 0.2; Km_C00026: 1.848888888888889; Km_C00407: 0.7718055844306946,Kcat_F: 0.4316887416402678; Kcat_R: 0.3669039055195826
WP_000068701.1,2.1.2.10,,R244,Aminomethyltransferase,R04125,C00101; C01242,C00014; C00143; C02972,Km_C00014: 2.288124084472656; Km_C00143: 0.0092; Km_C02972: nan; Km_C00101: 0.0629024133086204; Km_C01242: nan,Kcat_F: 23.35498459481404; Kcat_R: 32.671543835370514
WP_000068701.1,2.1.2.10,,R245,Aminomethyltransferase,R01221,C00003; C00037; C00101,C00004; C00011; C00014; C00080; C00143,Km_C00004: 0.0514274351298809; Km_C00011: 1.1087075471878052; Km_C00014: 2.288124084472656; Km_C00080: 0.9966654777526855; Km_C00143: 0.0092; Km_C00003: 0.1262479871511459; Km_C00037: 1.4576902389526367; Km_C00101: 0.0629024133086204,Kcat_F: 15.935437490500918; Kcat_R: 43.13435515169712
WP_000068701.1,2.1.2.10,,R246,Aminomethyltransferase,R02300,C03479,C00001; C00445,Km_C00001: 0.9442588090896606; Km_C00445: 0.0690556466579437; Km_C03479: 0.0623933747410774,Kcat_F: 21.608121027445836; Kcat_R: 10.308430653635787
WP_000095707.1,2.7.2.1,,R247,Acetate kinase,R00315,C00002; C00033,C00008; C00227,Km_C00008: 0.1516916751861572; Km_C00227: 1.3033333333333335; Km_C00002: 0.1223888844251632; Km_C00033: 46.928253173828125,Kcat_F: 1.4999326265528876; Kcat_R: 776.3642469878893
WP_000095707.1,2.7.2.1,,R248,Acetate kinase,R01353,C00002; C00163,C00008; C02876,Km_C00008: 0.1516916751861572; Km_C02876: 0.5455302000045776; Km_C00002: 0.1223888844251632; Km_C00163: 27.576339721679688,Kcat_F: 1.064379817239009; Kcat_R: 2.6237378727355596
WP_000224879.1,2.4.2.1,,R249,Purine-nucleoside phosphorylase,R08368,C00009; C15586,C00620; C15587,Km_C00620: 0.1; Km_C15587: nan; Km_C00009: 0.3308404684066772; Km_C15586: nan,Kcat_F: 0.1614504396560178; Kcat_R: 10.242148697697395
WP_000224879.1,2.4.2.1,,R250,Purine-nucleoside phosphorylase,R01561,C00009; C00212,C00147; C00620,Km_C00147: 0.0987383499741554; Km_C00620: 0.1; Km_C00009: 0.3308404684066772; Km_C00212: 0.0603330135345459,Kcat_F: 4.789752395896917; Kcat_R: 16.672689038497232
WP_000224879.1,2.4.2.1,,R251,Purine-nucleoside phosphorylase,R01863,C00009; C00294,C00262; C00620,Km_C00262: 0.0033; Km_C00620: 0.1; Km_C00009: 0.3308404684066772; Km_C00294: 0.1498693525791168,Kcat_F: 4.718605090792253; Kcat_R: 9.94602441335375
